id,name,code,area,lat,lng
173,三股154 B1,M7609AB80,七股區,23.0883899,120.0405899
174,三股148左3,M7609AC95,七股區,23.0897449,120.0406778
175,三股153,M7609BA17,七股區,23.0881208,120.0408846
176,,M7609BA1768,七股區,23.0881934,120.0409426
177,三股152,M7609BA46,七股區,23.0880323,120.041178
178,三股151,M7609BA48,七股區,23.0882129,120.0411767
179,三股152右1,M7609BA56,七股區,23.0880329,120.0412756
180,三股152右2,M7609BA8556,七股區,23.0879989,120.0416175
181,三股150-11,M7609BB42,七股區,23.0885741,120.0411742
182,三股150,M7609BB55,七股區,23.0888455,120.0412699
183,三股149,M7609BB69,七股區,23.0892073,120.0413649
184,三股148左2,M7609BC24,七股區,23.0896564,120.0409713
185,?,M7609BC25,七股區,23.0897467,120.0409706
186,三股148左1,M7609BC63,七股區,23.0895685,120.0413623
187,三股148 A1,M7609BC82,七股區,23.0894794,120.0415582
188,三股148,M7609BC8205,七股區,23.0895245,120.0415578
189,三股147-1,M7609BC96,七股區,23.0898411,120.0416532
190,三股147,M7609BC97,七股區,23.0899314,120.0416526
191,?,M7609BD90,七股區,23.0902023,120.0416506
192,三股152右3,M7609CA2475,七股區,23.087902,120.0420281
193,三股152右4,M7609CA6327,七股區,23.0878319,120.0423702
194,三股146,M7609CD0015,七股區,23.0902481,120.0417577
195,三股145,M7609CD1415,七股區,23.0906099,120.0418527
196,三股144-1,M7609CD17,七股區,23.0908356,120.0418414
197,三股144,M7609CD2806,七股區,23.0909806,120.0419379
198,三股146 A1,M7609CD30,七股區,23.0902047,120.042041
199,三股143,M7609CE31,七股區,23.0911979,120.042034
200,三股142-1,M7609CE45,七股區,23.0915597,120.042129
201,三股142,M7609CE48,七股區,23.0918306,120.0421271
202,三股152右5,M7609DA03,七股區,23.0877709,120.0427415
203,三股140左5 A1,M7610AA6816,七股區,23.0927771,120.0403733
204,三股140左4-1,M7610AA9913,七股區,23.092842,120.0406656
205,三股140左7,M7610AB0194,七股區,23.0930268,120.0398639
206,,M7610AB4001,七股區,23.0929112,120.0401673
207,三股140左6,M7610AB4034,七股區,23.0929385,120.0401964
208,三股140左5,M7610AB6020,七股區,23.0929035,120.0403821
209,三股140左4,M7610BA1837,七股區,23.0927892,120.0408807
210,三股140左3,M7610BA5786,七股區,23.0926925,120.0413206
211,三股140左2,M7610CA0683,七股區,23.0925781,120.0418095
212,三股140左1,M7610CA4525,七股區,23.0925079,120.0421418
213,三股141,M7610CA5124,七股區,23.0921383,120.0422421
214,三股140,M7610CA64,七股區,23.0923735,120.0423185
215,,M7610CA69,七股區,23.092825,120.0423153
216,三股139,M7610CA7911,七股區,23.0928346,120.0424226
217,三股138 B1,M7610CB52,七股區,23.0930953,120.0422158
218,三股138,M7610CB82,七股區,23.093097,120.0425086
219,三股137-1,M7610CB8599,七股區,23.0934497,120.0425939
220,三股137,M7610CB9974,七股區,23.0937662,120.0426697
221,三股136,M7610DC0266,七股區,23.0940557,120.0427555
222,三股135-1,M7610DC1640,七股區,23.0943632,120.0428315
223,三股135 B1,M7610DC19,七股區,23.0946338,120.0427905
224,三股135,M7610DC2925,七股區,23.0946797,120.0429073
225,三股134,M7610DD30,七股區,23.0947253,120.0429851
226,三股133,M7610DD46,七股區,23.0952676,120.0430788
227,三股132-1,M7610DD4868,七股區,23.0955208,120.0431356
228,,M7610DE41,七股區,23.0957191,120.0430756
229,三股132,M7610DE5137,七股區,23.0957831,120.0432021
230,三股131,M7610DE6536,七股區,23.0961358,120.0432972
231,三股130,M7610DE78,七股區,23.0963529,120.043364
232,三股132右1,M7610DE8153,七股區,23.0957488,120.0435146
233,三股132右3,M7610ED6962,七股區,23.095564,120.0443066
234,三股132右2,M7610EE2062,七股區,23.0956519,120.0439155
235,,M7610EE62,七股區,23.0958165,120.0442462
236,三股132右4,M7610FD0803,七股區,23.0954848,120.044639
237,三股132右5,M7610FD3726,七股區,23.0954234,120.0449518
238,三股124右13 C1,M7610GE56,七股區,23.0961889,120.0460982
239,三股129,M7611BA8206,七股區,23.096757,120.0415065
240,三股128,M7611DA83,七股區,23.096805,120.0434584
